Profile ID,Exam Score,Prediction (first submitted answer),Prediction (last submitted answer),Number of Practice Exams Survey Answer,Delayed Feedback Format?,Number of Practice Questions Done,Number of Practice Questions Done Before Survey,Time of 20th submission (hours before exam)
34557,84.4,83.0,83.0,0,1,41,0,-16.75
34550,81.2,90.0,90.0,1,1,23,0,-1.5166666666666666
34551,87.5,70.0,70.0,2,1,74,4,-7.066666666666666
34552,90.6,90.0,90.0,1,1,14,0,NULL
34553,93.7,70.0,70.0,0,NULL,0.0,0.0,NULL
35830,81.2,100.0,100.0,1,1,16,0,NULL
35831,78.1,42.0,0.0,0,1,4,0,NULL
36199,93.7,90.0,95.0,2,0,84,0,-16.25
35834,90.6,100.0,100.0,4,0,48,18,-71.4
35835,75,85.0,85.0,1,NULL,0.0,0.0,NULL
35837,62.5,80.0,60.0,2,1,12,0,NULL
35838,78.1,100.0,100.0,0,NULL,0.0,0.0,NULL
35839,90.6,100.0,100.0,4,0,93,47,-22.383333333333333
33134,NULL,NULL,NULL,NULL,1,0,0,NULL
35818,87.5,NULL,NULL,NULL,0,1,0,NULL
35939,100,100.0,100.0,4,1,32,0,-73.86666666666666
35938,50,NULL,NULL,NULL,0,1,0,NULL
36418,100,NULL,NULL,NULL,NULL,0.0,0.0,NULL
34488,81.2,85.0,80.0,2,1,23,0,-22.566666666666666
34692,62.5,65.0,65.0,1,0,70,9,-4.3
35931,68.7,NULL,NULL,NULL,1,25,0,-1.1666666666666667
35930,84.4,70.0,70.0,2,1,43,0,-53.733333333333334
35933,50,50.0,50.0,3,0,44,44,-57.8
35932,84.4,85.0,90.0,1,1,47,0,-27.866666666666667
35934,96.9,100.0,100.0,3,0,93,4,-1.8166666666666667
28966,0,NULL,NULL,NULL,NULL,0.0,0.0,NULL
35936,56.2,75.0,75.0,2,1,6,0,NULL
35203,NULL,NULL,NULL,NULL,1,0,0,NULL
36406,90.6,85.0,85.0,2,0,47,0,-1.4333333333333333
35201,84.4,95.0,95.0,3,1,28,2,-3.55
35673,87.5,90.0,90.0,3,0,87,0,-26.2
35204,96.9,100.0,100.0,0,0,51,0,-3.816666666666667
33726,68.7,85.0,85.0,1,0,11,0,NULL
33727,90.6,100.0,100.0,2,1,93,50,-42.05
35778,75,NULL,NULL,NULL,0,93,0,-19.816666666666666
33720,68.7,80.0,80.0,1,NULL,0.0,0.0,NULL
33488,50,100.0,100.0,1,1,19,0,NULL
36413,90.6,80.0,80.0,3,0,23,3,-2.9833333333333334
34721,68.7,50.0,65.0,1,1,47,0,-20.533333333333335
34720,40.6,100.0,90.0,1,1,1,0,NULL
35776,59.4,60.0,60.0,0,0,1,0,NULL
35632,84.4,80.0,80.0,4,0,93,23,-75.8
34836,NULL,NULL,NULL,NULL,1,0,0,NULL
35630,93.7,75.0,70.0,2,1,79,47,-51.18333333333333
35631,78.1,70.0,70.0,1,1,26,0,-1.1333333333333333
35636,90.6,100.0,100.0,4,1,88,0,-8.066666666666666
35810,75,100.0,80.0,3,NULL,0.0,0.0,NULL
35888,96.9,80.0,80.0,3,0,75,0,-1.85
35635,90.6,99.0,99.0,2,1,89,46,-22.95
35970,93.7,70.0,70.0,3,1,67,44,-73.53333333333333
36167,62.5,70.0,70.0,3,1,93,0,-28.466666666666665
35958,100,90.0,90.0,0,0,47,0,-1.75
35629,81.2,86.0,86.0,1,1,0,0,NULL
36032,81.2,75.0,75.0,4,0,93,93,-130.31666666666666
36289,43.7,70.0,70.0,2,0,30,0,-4.366666666666666
35773,100,100.0,100.0,3,NULL,0.0,0.0,NULL
35772,37.5,80.0,80.0,2,0,9,2,NULL
33432,96.9,100.0,100.0,4,1,93,0,-32.916666666666664
35844,90.6,93.0,93.0,0,1,23,0,-2.816666666666667
35847,75,100.0,80.0,3,0,66,7,-6.766666666666667
36050,65.6,NULL,NULL,NULL,0,4,0,NULL
36057,84.4,90.0,90.0,3,1,45,23,-44.583333333333336
35814,100,100.0,100.0,1,1,32,23,-45.65
35843,68.7,80.0,100.0,3,1,33,0,-4.683333333333334
35842,96.9,100.0,100.0,4,1,93,0,-163.46666666666667
36112,28.1,70.0,70.0,2,0,4,0,NULL
35661,81.2,100.0,100.0,0,0,51,4,-8.233333333333333
36059,90.6,90.0,90.0,4,1,93,70,-72.93333333333334
36058,46.9,NULL,NULL,NULL,NULL,0.0,0.0,NULL
35849,71.9,80.0,80.0,4,1,93,0,-73.96666666666667
36117,90.6,80.0,80.0,2,1,78,0,-79.38333333333334
36114,87.5,80.0,80.0,4,0,93,7,-10.35
36115,84.4,60.0,60.0,0,1,11,0,NULL
34559,78.1,50.0,50.0,0,0,90,0,-89.11666666666666
35782,96.9,80.0,80.0,1,0,6,6,NULL
33793,NULL,NULL,NULL,NULL,1,0,0,NULL
35448,59.4,85.0,85.0,1,0,22,0,-1.4333333333333333
35846,50,72.0,72.0,1,0,27,23,-51.78333333333333
31862,100,80.0,80.0,0,0,93,0,-20.716666666666665
35441,81.2,100.0,100.0,2,0,42,11,-8.216666666666667
35440,71.9,90.0,90.0,2,0,23,0,-6.183333333333334
35443,100,10000.0,10000.0,1,NULL,0.0,0.0,NULL
35442,65.6,100.0,100.0,4,0,46,0,-1.3666666666666667
35445,56.2,100.0,100.0,2,0,24,10,-23.1
35444,81.2,100.0,100.0,3,0,2,0,NULL
35447,96.9,70.0,70.0,3,1,93,69,-77.88333333333334
35446,93.7,80.0,80.0,3,1,35,23,-49.86666666666667
36020,81.2,85.0,85.0,2,NULL,0.0,0.0,NULL
36403,93.7,80.0,80.0,1,0,0,0,NULL
